,scGPT_scMulan,scGPT_UCE,scGPT_scFoundation,scGPT_Geneformer,scMulan_UCE,scMulan_scFoundation,scMulan_Geneformer,UCE_scFoundation,UCE_Geneformer,scFoundation_Geneformer,donor
270,0.965876890050988,0.9555282182378179,0.8977894939724259,0.8819618448705394,0.9873075445165657,0.9303239465838594,0.9320242510509547,0.934176461883327,0.9390769866232223,0.9199807172544381,M28437
271,0.9629685899352731,0.9663544628778197,0.9054688660207586,0.8722544337774885,0.986261417714611,0.9403000407918067,0.9235447434869164,0.9310972067186655,0.9206657687981321,0.9176187026760864,M83910
272,0.9602721481871834,0.955092007403712,0.9059871592731311,0.8917489664283281,0.9850550822526503,0.9245813690703313,0.9343270499093498,0.9277464349081905,0.9409023313090658,0.9118949726008874,M34815
273,0.9473630764844355,0.9288834984352379,0.875688545212073,0.8756106346976855,0.9819890417084502,0.9196595383011029,0.9369196256223489,0.9335147148588128,0.9514039908302349,0.9150966097902605,M59593
274,0.9682390800278088,0.966300764629722,0.8982505578796314,0.8921445191779391,0.9877703290848231,0.9314227998468436,0.9305695808441664,0.9344573362724946,0.9377874497451547,0.9241058670199531,M29466
275,0.9689877900218511,0.9765323773777943,0.8626998641631409,0.8294854079104144,0.9842463321873782,0.9266351537918116,0.8997219311203803,0.9144669088066187,0.8850439100383551,0.9290726224803706,M13640
276,0.9618795257837942,0.9525217091133504,0.8846932287000422,0.886043913890381,0.9852186530945245,0.9303194362315903,0.9321034672365129,0.9398884934005244,0.9385265477563328,0.9278367521978046,M00_1061
277,0.973039525882945,0.9615470099620672,0.9094558520507221,0.893417862313391,0.9847682599964009,0.9335397594816431,0.9307697361655798,0.9415900710422088,0.9410814635491349,0.923483601745689,M87037
278,0.9682496021571771,0.9721955808143388,0.8901918891760544,0.8800049180617253,0.9882374171460709,0.926724084634696,0.9226556815425977,0.9236859087836862,0.919217824301837,0.9214635971754328,M74564
279,0.9614979139472987,0.9722286745061057,0.9036413305922253,0.9000600949715404,0.9831900085454028,0.9295150100531547,0.9318300907595132,0.9311847981923577,0.9356464465160316,0.9293249072555688,M75954
280,0.9537767552993531,0.9477987153710494,0.9076361732507734,0.8827573986680366,0.985404749514162,0.9329198270975847,0.9404723809597424,0.9375523016066506,0.9497046148544125,0.9164675562436672,M34070
281,0.9468554005113856,0.9571455087944192,0.890279434337478,0.9004978352510474,0.9812766271421027,0.9233701076610993,0.9357600049211495,0.9279292099651144,0.9428782019113578,0.9241517105783443,M17693
282,0.9670412913143802,0.9652389065660586,0.8903392035007873,0.8808055390959302,0.9874789295566251,0.9287990513336175,0.9283612200343702,0.9305750138431225,0.9322677801208559,0.9196701280394529,M76564
283,0.9538010129547763,0.9395953310589007,0.9113013659844765,0.8757779877813889,0.9838670057539805,0.9329262114518123,0.9370401889406689,0.934236573138818,0.949254170470974,0.9129473945754041,M62474
284,0.9558224208508675,0.9448139695360319,0.9046063448456078,0.8847152140681094,0.9849877674395457,0.9300983361714915,0.9399512686078302,0.9355403987337498,0.9515003674582667,0.9120845299013189,M30199
285,0.9635627714941979,0.9614496951546256,0.892829878599187,0.8755677288163856,0.98599293222012,0.9355611696377463,0.9271441075353694,0.9365456462096426,0.9305129498380913,0.924929284176242,M15395
286,0.9198148039113304,0.9165142129904456,0.9152200199595587,0.8440344041374012,0.9768276653678818,0.9271683772451762,0.937959372110681,0.9292965747580059,0.9528319716113062,0.8949253660242115,M97728
287,0.9592970839036722,0.9538016765148625,0.9132223991822486,0.8922472566161729,0.9851092545639027,0.9317359095977671,0.9395937836088115,0.931458525858268,0.9468324204259293,0.9156053949934633,M73342
288,0.9590128450225888,0.959284141408876,0.8931817548561221,0.8853942824025756,0.981914802451116,0.9296999123329557,0.9320268302163334,0.9261902846683856,0.9350427078632462,0.9185972601516794,M681122
289,0.9671017919202038,0.9685688863589991,0.8949408199020857,0.8733834613826766,0.9876399627611828,0.935402541615134,0.9169459856565287,0.9272358033138154,0.906429150865978,0.9213668566606815,M91573
290,0.9709055686824742,0.9735360720671852,0.8727768055880717,0.857191780966952,0.9871057493772869,0.921063364708002,0.9061315609799261,0.9152632215329126,0.9028686924540035,0.925235845190727,M53257
291,0.9505384807283204,0.9418599001435982,0.9042248600698756,0.8764230987037932,0.9836499263502185,0.925089213240029,0.938476832788657,0.9294139655821512,0.9502995709457323,0.9057794050230722,M118449
292,0.9774530948724653,0.9727951406122353,0.9007921319528802,0.8877786169598407,0.9860409099401619,0.9307768133343598,0.9214166579467918,0.9366055228255257,0.9292365010318396,0.9349174123147777,M79926
293,0.9653735116947281,0.9557487118873214,0.8908788639769775,0.8843199334765901,0.9856375865170763,0.9317437286122325,0.9332123609128998,0.939792328139708,0.9451753721203003,0.9257507672157013,M78832
294,0.9482044403247487,0.9306089380063549,0.9134190795916772,0.8715298882672562,0.9787781428882864,0.9232209879332733,0.9335792423828709,0.9247353175259095,0.9563073964145746,0.892457885221905,M13340
295,0.8708896480897076,0.846818150326893,0.8564670268650143,0.7806901334381783,0.9698796394988511,0.9149993541626628,0.9251592855590561,0.924235453199279,0.9516778638550765,0.8937549108050074,M912489
296,0.9646006401722073,0.9637917724906507,0.9209249104110163,0.9042732099654025,0.9874277272228131,0.9358468100130239,0.9391505520854296,0.9364164522057282,0.9430981665820017,0.9184727975367658,M6161
297,0.9646807127565518,0.9655434150785461,0.889938974477563,0.8685460967026976,0.9872022305899435,0.9293558814240341,0.9203417539553069,0.9237492406727688,0.9164065672751673,0.9193121546889313,M27409
298,0.9528054035503147,0.9514616826404114,0.8923679408651776,0.8913952547517646,0.9831362981508642,0.9300705662327226,0.9392639241584585,0.9384419613421286,0.9484961547151064,0.9211931633121628,M42044
299,0.9721769437883954,0.9744118417794454,0.8948527702629461,0.8934807731933728,0.9861059277813954,0.9248309312212388,0.9289115861709052,0.9240371858403167,0.9308873932553571,0.915684391937492,M96055
300,0.9626638311982377,0.9601765810533585,0.8924337576285465,0.8782359349926707,0.9857914148502612,0.9317882884076344,0.9257119910177214,0.933045310232448,0.9323221408047461,0.9191455165887779,M11589
301,0.9705130129223108,0.9621479841495609,0.9039030511901672,0.8890670578716046,0.9882651381988825,0.9371320670424391,0.9298971364671278,0.939701761036191,0.9389440656988692,0.9203117989701419,M67602
302,0.9638641751190343,0.9852692460209682,0.9023645883538538,0.8812965381659529,0.9786267437403499,0.9244818089209319,0.9189608502496767,0.9249000501979544,0.9120199478750405,0.9244276416256646,M47453
303,0.9626724079198934,0.9596687297832166,0.8912507755879295,0.8718200509032498,0.9890173320596546,0.9394196019213417,0.9244755438300162,0.938030149247247,0.9268126679759175,0.923768044018511,M88313
304,0.9411480503196867,0.9202874151711874,0.9216254239493494,0.8604949721964534,0.9787032061976058,0.9283859272443865,0.9351060981185532,0.9251381693877536,0.9588092655626262,0.8927002869274762,M77920
305,0.9266932830622958,0.8998999488640381,0.9335101425797709,0.8390263149614278,0.9701957244784427,0.9352551150104211,0.9270318006768064,0.9259879616027672,0.9562867900197288,0.8858068125721696,M80488
306,0.9581297688024575,0.9390687264969323,0.8912661711286656,0.8755757851758262,0.9840729977812204,0.9254106156368296,0.9320533114187546,0.9353854245879041,0.9489000715749061,0.9126524268361214,M96977
307,0.9731579412114285,0.9712685501929756,0.899216865221419,0.8831365509610676,0.9894589134035059,0.9328393347588492,0.9229335269655319,0.9324779698735264,0.9230396166576499,0.9205997205855239,M6160
308,0.9609725340739863,0.9577734222583164,0.9050046934332103,0.8934343045776938,0.98660956196188,0.9316335694860628,0.9376771275244407,0.9367236543157829,0.9473385062414206,0.9173211410379914,M33688
309,0.973387251057132,0.9753782579419901,0.8945617112276998,0.8745953806167354,0.9866504018860692,0.9263410788126392,0.9120216808472901,0.9176216426429594,0.9017779990118638,0.9217861891998302,M99182
310,0.9512995091876603,0.9557467581501911,0.9026363665892072,0.8987883860859884,0.9830643943300125,0.9253641158787174,0.939457218380663,0.9268726561260353,0.9491282418790822,0.906536451692027,M198964
311,0.9658331883561675,0.9604452351245005,0.8868141525814108,0.8836921214164496,0.9874520059216072,0.9261603253368313,0.9274797145711421,0.9325088652695088,0.9374715154287443,0.9227351949600031,M42537
312,0.961245500100484,0.9469887459379391,0.918103187631092,0.8840065586266279,0.9725756025139463,0.9238362141334805,0.9093158535595884,0.9339133954375061,0.941979436808937,0.9178708458365238,M32270
313,0.9639280962363189,0.9702184365136146,0.9011254410396289,0.8996558079566458,0.984628339390291,0.9333237751163371,0.9318732258557721,0.9361034670820125,0.9411616303993365,0.921494439886433,M78717
314,0.9723685531347984,0.9761455965935453,0.9333965249088626,0.9044915489129696,0.9790853770202931,0.9440772600036935,0.9236861089140151,0.9508505876603239,0.9309803645905315,0.9309045454719083,M35723
315,0.9491038204878289,0.9323778246934058,0.9156493143428345,0.8734673593154056,0.9825020574948011,0.9316772187603348,0.9375559832399422,0.9317914006817032,0.9543851200593821,0.9050690179091178,M28337
316,0.9647632126200744,0.972050841873926,0.8660117535573064,0.8409584213784527,0.983813785533151,0.9233942341346626,0.9045253670699049,0.9105244995427244,0.889011409564659,0.9289883953252942,M45135
317,0.9678638079618679,0.9624675995593626,0.91355584889251,0.8896305796855918,0.9873266252090224,0.9402243224686277,0.9332870307518665,0.9384217429876108,0.9389033828115891,0.9218843639765396,M64525
318,0.9631755769430441,0.9535677452643387,0.9072025709750938,0.8954210121809875,0.9858672897919895,0.9288950947524668,0.9396936276995915,0.9311887578521651,0.9489149167238229,0.9149059720229096,M57046
319,0.9656302936628199,0.9620665613536965,0.8850210309762582,0.8727232053361125,0.9855517501123967,0.9309045360397266,0.9250909672716703,0.9356189076836453,0.9310445886043288,0.9264481766887053,M40437
320,0.9663274139659225,0.9696514988422092,0.9141626179750263,0.8970172531011049,0.9867346397730429,0.9420118289389258,0.9354546137811304,0.9388577530518072,0.9357403217034342,0.9182635303080622,M304882
321,0.959932078794941,0.9733438043695334,0.8907854026699388,0.8913196684405464,0.9828815180856686,0.930243977447403,0.9312295295806737,0.9276616306863004,0.931855662752371,0.9207282682147728,M80768
322,0.9665120171698864,0.9634633375684271,0.9210425901014423,0.904003255020406,0.9870262713264227,0.9359307937110634,0.9397618479699994,0.9363991128058886,0.9450554276074185,0.9188404078586739,M65630
323,0.956416538074001,0.9597533344911864,0.9009516342034934,0.9051613982710626,0.9843059283099647,0.9176526280895312,0.9390026519013506,0.9245625920531131,0.9499916820434341,0.9043728779513283,M917
324,0.9502289722075564,0.9462277614735338,0.9064200526953291,0.8844780371063935,0.9841201956010559,0.9379131318200796,0.9381346196719026,0.9385028159594871,0.9478124776980624,0.9156426243927139,M98126
325,0.9781276535826632,0.9863506606292919,0.9023952891792993,0.9047190218566744,0.987411908744222,0.917783015123964,0.9240537376858882,0.9223927462323318,0.9278101474826874,0.9287119844123092,M580893
